"Marketplace / Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Northstar Gun Rack Support mural Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store All Rifle Shotgun Real Hardwood (Marron) Visitez la boutique Northstar COG: 10,14 / Price: 27,8";"B09J8W13DK";"EG-RY08-XTU8";"1";"";"27,8";"";"";"";"";"";"";"";"";"";"-";"";"-8,32";"-10,14";"-4,82";"";"4,52";"4,52";"19,48";"";"16,26";"44,58";"34 859";"";"";"";"27,80"
"Northstar Cadeau Homme Organisateur de Bureau Bois Cadeau Fete des Peres Support Telephone Bureau Cadeau Papa Noël Cadeau Support Montre Cadeau Anniversaire Homme Support Porte Monnaie (Marron) COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Northstar Station d'accueil de téléphone en bois avec tiroir – Organiseur de table de nuit – Organisateur de bureau pour mari – Cadeaux d'anniversaire pour homme, papa, idée d'anniversaire, porte-clés COG: 10,62 / Price: 38,55";"B0F2T5SPFZ";"PPD004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,18";"";"";"";"-0,18";"-0,18";"-0,18";"";"";"";"36 715";"";"13";"";""
"Northstar Telefon-Dockingstation aus Holz mit Schublade – Nachttisch-Organizer – Schreibtisch-Organisator für Ehemann – Geburtstagsgeschenke für Männer, Papa, Geburtstagsidee, Schlüsselanhänger COG: 10,62 / Price: 38,55";"B0F2TDHQ83";"PPD006";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";""
"Chope à bière faite à la main en bois de chêne et acier inoxydable naturel respectueux de l'environnement, 0,6 l, marron classique (rétro 0,6 l) COG: 6,59 / Price: 29,8";"B01LYB4PKO";"69-YT0R-2WCS";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";""
"Northstar Gun Rack Wall Mount – Metal Gun Hooks with Solid Ash Wood Base, Horizontal Rifle & Shotgun Display Hooks, Firearm Storage for Rifle, Shotgun & Bow (Tulip) COG: 6,27 / Price: 32,8";"B0BTTHD99C";"AR0008";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Northstar Support mural horizontal pour fusil de chasse et crochets pour fusil de chasse en bois dur véritable (Wengé) COG: 5,85 / Price: 39,11";"B09QMK4HZF";"ARM001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";""
"Northstar Wikinger krug für Bier 0,6 Liter | Bierkrug für Männer | Becher | Maßkrug | Bier Geschenk | Geschenkideen für Männer, Geschenk Vatertagsgeschenk für Papa COG: 6,98 / Price: 32,8";"B0CP2KD382";"BMP0011";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";""
"Tesylar Chope viking pour bière 0,6 l | Chope à bière | Idée cadeau pour homme | Cadeau pour la fête des pères (marron) COG: 7,44 / Price: 32,8";"B0BRSMB6M9";"BMT003";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";""
"Northstar Steak Brett Servierbrett Holz Eichenholz 30x20cm (Medium) - Steak Servierplatte/Steakbrett Schneidebrett aus Massivholz Massiv/Holzbrett Küche/Vesperbrett Holz & Küchen Utensilien COG: 3,5 / Price: 28,8";"B0B1DMS4YK";"KB0001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Steak Brett Servierbrett Holz Eichenholz 35x25cm Groß - Steak Servierplatte Vesperbrett/Steakbrett Schneidebrett mit Kante/Holzbrett Küche/Holz Bretter & Küchen Utensilien aus Massivholz COG: 4,73 / Price: 36,8";"B08YKGCV8F";"KB0002";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Planche de service à steak en bois 40 X 30 - Planche en chêne durable et de qualité - Plateau de service pour barbecue COG: 6 / Price: 42,8";"B09RX2WX88";"KB0003";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Cadeau Homme Organisateur de Bureau Bois Support Telephone Bureau Support Montre Monnaie Idée Cadeau (Beige) COG: 6,12 / Price: 30,99";"B08YJ5Y672";"PP0006";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,25";"";"";"";"-0,25";"-0,25";"-0,25";"";"";"";"36 526";"";"31";"";""
"Northstar Support de Téléphone en Bois Cendre Porte Porte-Monnaie et Montres Noël Cadeaux pour Hommes Organisateur de Montre Organisateur de Montre Cadeau de Mari Femme Anniversaire Cendre Noire (Noir) COG: 6,12 / Price: 30,99";"B09FSZYGB4";"PP0007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";""
"Northstar Cadeau Homme Organisateur de Bureau Bois Cadeau Fete des Peres Support Telephone Bureau Cadeau Papa Noël Cadeau Support Montre Cadeau Anniversaire Homme Support Porte Monnaie (Marron) COG: 12,78 / Price: 32,79";"B07VC6GXYT";"SQ-H3G9-2L92";"";"";"";"";"-0,03";"-0,03";"";"";"";"";"";"";"-";"";"";"";"";"";"-0,03";"-0,03";"-0,03";"";"";"";"";"";"3";"";""
"Northstar Gun Rack Support mural Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store All Rifle Shotgun Real Hardwood (Marron) Visitez la boutique Northstar COG: 4,48 / Price: 38,37";"B09J8W13DK";"UG-Y4LX-G244";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"34 859";"";"2";"";""
"Northstar Gun Rack Support mural Hold Up Displays Horizontal Gun Rack et Shotgun Hooks Store Any Rifle Shotgun Sword Saber and Bow Real Hardwood (Wenge) COG: 4,48 / Price: 32,8";"B0B6WC5SST";"Y4-OT79-ACBA";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";""
"Northstar Chope à bière Viking pour homme – 0,6 l – Tasse en bois de chêne faite à la main en acier inoxydable – Design authentique – Cadeau de Noël | Cadeau d'anniversaire | Cadeau pour homme – Cadeau COG: 7,01 / Price: 30,8";"B0CN6XQ611";"BMP0009";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,17";"";"";"";"-0,17";"-0,17";"-0,17";"";"";"";"114 745";"";"18";"";""
"Holz Telefon Dockingstation Asche Baum mit Schlüsselanhänger Männer Geschenk Ehemann Frau Jubiläum Vater Geburtstag Nachttisch Geldbörse Vater Abschluss Männliche Reise Idee Gadgets (Wenge) COG: 14,05 / Price: 38";"B0881MZGCF";"CJ-HT4E-OKZV";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Snijplank van hout, 35 x 25 cm, steakbord, snijplank voor het serveren van vlees, voor burgers, kaas, grill, friet, dienblad van hout, keukenplank, accessoires voor de keuken COG: 0 / Price: 26,8";"B0BQCSFHQH";"KB0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Cadeau pour homme en bois - Station d'accueil pour téléphone - Support pour clés - Organiseur de montre - Cadeau pour homme - Cadeau d'anniversaire - Cadeau de Noël pour papa, anniversaire, table de COG: 6,36 / Price: 27,99";"B09PNKKS78";"PP0001GS";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"34";"";""
"MyFancyCraft Bierkrug, Holz-Bierkrug, Edelstahlbecher, Handgefertigte Geschenke für Männer, Vatertag, Weihnachten oder Geburtstag, Retro-Braun, 6 Stück COG: 39 / Price: 162,48";"B06X9LNZPJ";"OO-A269-AGEC";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Station d'accueil de téléphone en bois avec tiroir – Organiseur de table de nuit – Organisateur de bureau pour mari – Cadeau d'anniversaire pour homme ou papa – Idée d'anniversaire COG: 9,51 / Price: 38,55";"B0DQQCZGLP";"PPD007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";""
"Northstar Support mural horizontal pour fusil de chasse et crochets pour fusil de chasse en bois dur véritable (Wengé) COG: 5,85 / Price: 27,8";"B09QMK4HZF";"ARM0001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Northstar Gun Rack Support mural Hold Up Displays Horizontal Gun Rack et Shotgun Hooks Store Any Rifle Shotgun Sword Saber and Bow Real Hardwood (Wenge) COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Northstar Gun Rack Support mural Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store All Rifle Shotgun Real Hardwood (Marron) Visitez la boutique Northstar COG: 10,14 / Price: 25,14";"B09J8W13DK";"DC-9UBV-6D8X";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"34 859";"";"";"";""
